bact.trt,rhiz.strain,rhiz.genus,bact.div
1,A1,brady,1
2,A2,brady,1
3,A3,brady,1
4,A4,brady,1
5,B1,meso,1
6,B2,meso,1
7,B3,meso,1
8,B4,meso,1
9,C1,rhizo,1
10,C2,rhizo,1
11,C3,rhizo,1
12,C4,rhizo,1
13,D1,sino,1
14,D2,sino,1
15,D3,sino,1
16,D4,sino,1
17,"A1, A4",brady,1
18,"A3, A2",brady,1
19,"B4, B2",meso,1
20,"B1, B3",meso,1
21,"C2, C4",rhizo,1
22,"C1, C3",rhizo,1
23,"D1, D3",sino,1
24,"D2, D4",sino,1
25,"C4, B2","meso,rhizo",2
26,"B1, D4","meso,sino",2
27,"C2, B3","meso,rhizo",2
28,"D1, A3","brady,sino",2
29,"A2, C3","brady,rhizo",2
30,"A4, C1","brady,rhizo",2
31,"A1, D2","brady,sino",2
32,"B4, D3","meso,sino",2
33,A1-A4,brady,1
34,B1-B4,meso,1
35,C1-C4,rhizo,1
36,D1-D4,sino,1
37,"A1, B3, C4, D1","brady,meso,rhizo",3
38,"A3, B2, C2, D4","brady,meso,rhizo",3
39,"A2, B4, C1, D3","brady,meso,rhizo",3
40,"A4, B1, C4, D2","brady,meso,rhizo",3
41,"N- CONTROL",none,0
42,"N+ CONTROL",none,0
