Experiment	PlantID	Strains	Nitrogen	NoduleID	PopEffStrain	PopStrain2
Fall	13	38x2	1	1	8.05e5	0
Fall	13	38x2	1	2	1.75e6	0
Fall	13	38x2	1	3	1.00e6	0
Fall	13	38x2	1	4	2.50e6	0
Fall	13	38x2	1	5	1.55e4	1.53e6
Fall	27	49x2	GSN	1	2.49e7	1.88e6
Fall	27	49x2	GSN	2	5.30e7	0
Fall	27	49x2	GSN	3	1.92e7	0
Fall	27	49x2	GSN	4	1.10e6	0
Fall	27	49x2	GSN	5	2.73e7	3.50e6
Fall	29	38x2	0	1	1.50e5	0
Fall	29	38x2	0	2	4.00e6	0
Fall	29	38x2	0	3	5.50e6	0
Fall	29	38x2	0	4	2.40e6	0
Fall	31	38x2	1	1	4.22e7	0
Fall	31	38x2	1	2	4.89e7	0
Fall	31	38x2	1	3	3.46e7	0
Fall	31	38x2	1	4	1.17e5	0
Fall	31	38x2	1	5	4.48e7	0
Fall	32	14x2	0	1	1.84e7	0
Fall	32	14x2	0	2	2.85e7	0
Fall	32	14x2	0	3	4.35e6	0
Fall	32	14x2	0	4	2.42e7	6.00e5
Fall	39	49x2	0	1	9.80e6	0
Fall	39	49x2	0	2	1.85e6	0
Fall	39	49x2	0	3	1.11e7	0
Fall	39	49x2	0	4	1.14e7	0
Fall	74	14x2	1	1	8.32e7	0
Fall	74	14x2	1	2	3.65e7	0
Fall	74	14x2	1	3	2.84e5	0
Fall	74	14x2	1	4	1.27e7	0
Fall	74	14x2	1	5	9.32e5	0
Fall	78	49x2	0	1	1.47e7	0
Fall	78	49x2	0	2	2.35e6	0
Fall	78	49x2	0	3	7.95e6	0
Fall	83	49x2	GSN	1	4.47e7	0
Fall	83	49x2	GSN	2	3.54e7	6.00e5
Fall	83	49x2	GSN	3	6.68e7	0
Fall	83	49x2	GSN	4	1.95e6	0
Fall	83	49x2	GSN	5	2.70e6	0
Fall	86	38x2	0	1	2.55e4	0
Fall	141	14x2	1	1	7.56e5	0
Fall	141	14x2	1	2	5.87e2	4.29e4
Fall	141	14x2	1	3	1.65e6	0
Fall	141	14x2	1	4	5.95e4	0
Fall	141	14x2	1	5	1.43e5	0
Fall	142	14x2	0	1	2.47e7	0
Fall	142	14x2	0	2	8.50e6	0
Fall	142	14x2	0	3	1.05e7	0
Fall	142	14x2	0	4	2.41e7	0
Fall	155	49x2	GSN	1	0	1.13e5
Fall	155	49x2	GSN	2	1.00e4	0
Fall	160	49x2	0	1	5.75e6	0
Fall	160	49x2	0	2	3.15e6	0
Fall	160	49x2	0	3	5.05e4	0
Fall	160	49x2	0	4	4.70e6	0
Fall	177	38x2	1	1	0	1.25e5
Fall	177	38x2	1	2	7.30e4	0
Fall	177	38x2	1	3	1.93e7	0
Fall	177	38x2	1	4	1.57e7	0
Fall	177	38x2	1	5	5.75e6	0
Fall	177	38x2	1	6	2.55e6	0
Fall	179	14x2	0	1	8.50e3	0
Fall	179	14x2	0	2	5.90e7	3.10e6
Fall	179	14x2	0	3	7.75e4	0
Fall	179	14x2	0	4	5.10e7	0
Fall	179	14x2	0	5	9.65e6	0
Fall	191	14x2	1	1	3.53e7	0
Fall	191	14x2	1	2	4.89e7	0
Fall	191	14x2	1	3	7.14e7	0
Fall	191	14x2	1	4	1.91e7	0
Fall	191	14x2	1	5	1.44e8	0
Fall	205	38x2	0	1	2.85e5	0
Fall	205	38x2	0	2	1.00e4	0
Fall	206	49x2	0	1	1.85e6	0
Fall	213	38x2	1	1	9.00e6	0
Fall	213	38x2	1	2	3.64e7	0
Fall	213	38x2	1	3	5.32e7	0
Fall	213	38x2	1	4	3.35e6	0
Fall	213	38x2	1	5	2.10e6	0
Fall	218	38x2	0	1	6.50e3	0
Fall	218	38x2	0	2	0	5.00e5
Fall	218	38x2	0	3	1.30e4	9.65e2
Fall	228	49x2	GSN	1	1.42e7	0
Fall	228	49x2	GSN	2	6.50e6	0
Fall	228	49x2	GSN	3	2.75e7	0
Fall	228	49x2	GSN	4	3.63e7	0
Fall	228	49x2	GSN	5	4.84e7	0
Fall	243	14x2	0	1	7.30e7	0
Fall	243	14x2	0	2	1.80e6	0
Fall	243	14x2	0	3	3.87e7	0
Fall	260	14x2	1	1	7.51e7	0
Fall	260	14x2	1	2	6.28e7	0
Fall	260	14x2	1	3	7.00e3	0
Fall	260	14x2	1	4	1.57e5	0
Winter	291	38x2	GSN	1	1.89e5	0
Winter	291	38x2	GSN	2	7.70e6	0
Winter	291	38x2	GSN	3	0	2.45e6
Winter	292	14x2	GSN	1	4.50e7	3.14e6
Winter	292	14x2	GSN	2	7.20e6	0
Winter	292	14x2	GSN	3	1.90e4	0
Winter	295	49x2	GSN	1	2.60e4	0
Winter	295	49x2	GSN	2	2.60e4	0
Winter	295	49x2	GSN	3	8.50e5	0
Winter	295	49x2	GSN	4	1.85e6	0
Winter	298	38x2	0	1	2.20e4	0
Winter	298	38x2	0	2	0	5.00e5
Winter	301	14x2	0	1	1.29e7	0
Winter	301	14x2	0	2	1.97e7	0
Winter	301	14x2	0	3	5.15e6	0
Winter	301	14x2	0	4	1.00e4	0
Winter	303	49x2	0	1	1.17e5	0
Winter	303	49x2	0	2	5.35e6	0
Winter	303	49x2	0	3	6.00e3	0
Winter	357	49x2	0	1	7.85e4	0
Winter	357	49x2	0	2	6.00e3	0
Winter	364	38x2	0	1	1.40e6	0
Winter	364	38x2	0	2	4.00e6	0
Winter	364	38x2	0	3	3.35e7	0
Winter	364	38x2	0	4	1.77e5	1.79e3
Winter	366	14x2	0	1	5.78e7	0
Winter	366	14x2	0	2	5.90e7	0
Winter	366	14x2	0	3	1.04e8	0
Winter	368	14x2	GSN	1	1.09e8	0
Winter	368	14x2	GSN	2	1.31e7	0
Winter	368	14x2	GSN	3	1.08e8	0
Winter	368	14x2	GSN	4	6.73e7	3.40e6
Winter	433	38x2	GSN	1	4.55e6	0
Winter	433	38x2	GSN	2	1.20e6	0
Winter	433	38x2	GSN	3	1.24e5	0
Winter	433	38x2	GSN	4	3.50e4	0
Winter	437	49x2	0	1	0	2.20e6
Winter	437	49x2	0	2	5.15e4	0
Winter	441	49x2	GSN	1	1.00e4	0
Winter	441	49x2	GSN	2	3.15e6	0
Winter	441	49x2	GSN	3	4.35e6	0
Winter	442	14x2	GSN	1	1.32e8	0
Winter	442	14x2	GSN	2	6.71e7	0
Winter	442	14x2	GSN	3	1.14e7	0
Winter	442	14x2	GSN	4	1.47e7	0
Winter	498	14x2	GSN	1	8.46e6	7.49e6
Winter	498	14x2	GSN	2	7.50e5	0
Winter	507	49x2	GSN	1	8.42e7	0
Winter	507	49x2	GSN	2	5.56e7	0
Winter	507	49x2	GSN	3	2.52e7	0
Winter	507	49x2	GSN	4	2.59e7	0
Winter	508	38x2	0	1	8.00e4	0
Winter	508	38x2	0	2	2.30e4	0
Winter	508	38x2	0	3	2.18e5	0
Winter	509	14x2	0	1	3.46e7	0
Winter	509	14x2	0	2	6.00e6	9.05e6
Winter	509	14x2	0	3	4.89e7	0
Winter	509	14x2	0	4	4.14e7	2.22e6
Winter	510	49x2	0	1	6.00e5	0
Winter	510	49x2	0	2	3.90e6	0
Winter	511	38x2	GSN	1	1.52e6	0
Winter	511	38x2	GSN	2	1.09e5	0
Winter	511	38x2	GSN	3	0	3.34e7
Winter	511	38x2	GSN	4	0	2.33e7
Winter	555	14x2	0	1	1.60e7	0
Winter	555	14x2	0	2	5.00e3	0
Winter	555	14x2	0	3	5.42e7	0
Winter	555	14x2	0	4	3.95e7	0
